epoch,accuracy,learning_rate,loss,top_3_accuracy,top_5_accuracy,val_accuracy,val_loss,val_top_3_accuracy,val_top_5_accuracy
0,0.634446382522583,0.0010000000474974513,1.5491167306900024,0.8734622001647949,0.9718804955482483,0.7950530052185059,1.0117738246917725,0.9257950782775879,0.9858657121658325
1,0.8453426957130432,0.0010000000474974513,0.8709729909896851,0.9833040237426758,0.9991212487220764,0.8374558091163635,0.9561890363693237,0.9434629082679749,0.9893993139266968
2,0.8848857879638672,0.0010000000474974513,0.7665867805480957,0.9859402179718018,0.9991212487220764,0.833922266960144,0.9690045118331909,0.9363957643508911,0.9858657121658325
3,0.9094903469085693,0.0010000000474974513,0.7200540900230408,0.9929701089859009,1.0,0.8480565547943115,0.8823985457420349,0.9611307382583618,0.9964664578437805
4,0.9209138751029968,0.0010000000474974513,0.6608123779296875,0.9938488602638245,1.0,0.8480565547943115,0.8649994134902954,0.9575971961021423,0.9893993139266968
5,0.9393672943115234,0.0010000000474974513,0.6003141403198242,0.997363805770874,1.0,0.8551236987113953,0.8825773000717163,0.9681978821754456,0.9929328560829163
6,0.9446397423744202,0.0010000000474974513,0.5842867493629456,0.9964850544929504,0.9991212487220764,0.8551236987113953,0.8595011234283447,0.9681978821754456,0.9893993139266968
7,0.9420034885406494,0.0010000000474974513,0.5755639672279358,1.0,1.0,0.8621907830238342,0.8611150979995728,0.9752650260925293,0.9964664578437805
8,0.9525483250617981,0.0010000000474974513,0.5417994856834412,1.0,1.0,0.8586572408676147,0.8299547433853149,0.9646643400192261,0.9964664578437805
9,0.9516695737838745,0.0010000000474974513,0.538299560546875,0.9991212487220764,1.0,0.851590096950531,0.8347110152244568,0.9646643400192261,0.9929328560829163
10,0.9683655500411987,0.0010000000474974513,0.4900093376636505,0.9991212487220764,1.0,0.8480565547943115,0.8612087368965149,0.9646643400192261,0.9964664578437805
11,0.9543058276176453,0.0010000000474974513,0.5075610280036926,1.0,1.0,0.8657243847846985,0.8130329251289368,0.9681978821754456,0.9964664578437805
12,0.9674867987632751,0.0010000000474974513,0.47693637013435364,1.0,1.0,0.8727915287017822,0.8174952268600464,0.9646643400192261,0.9929328560829163
13,0.9727592468261719,0.0010000000474974513,0.4581161439418793,0.9991212487220764,1.0,0.8763250708580017,0.8221991062164307,0.9681978821754456,0.9964664578437805
14,0.9666081070899963,0.0010000000474974513,0.46422278881073,1.0,1.0,0.8657243847846985,0.8062628507614136,0.9681978821754456,0.9964664578437805
15,0.9762741923332214,0.0010000000474974513,0.43295544385910034,1.0,1.0,0.8621907830238342,0.8448873162269592,0.9646643400192261,0.9964664578437805
16,0.9806678295135498,0.0010000000474974513,0.4309648275375366,1.0,1.0,0.8727915287017822,0.8373197317123413,0.9646643400192261,0.9964664578437805
17,0.9727592468261719,0.0010000000474974513,0.42572999000549316,0.9991212487220764,1.0,0.8551236987113953,0.8333445191383362,0.9611307382583618,0.9964664578437805
18,0.982425332069397,0.0005000000237487257,0.4085288643836975,0.9991212487220764,1.0,0.8727915287017822,0.8155131340026855,0.9681978821754456,0.9964664578437805
19,0.9806678295135498,0.0005000000237487257,0.39219218492507935,1.0,1.0,0.869257926940918,0.8096796870231628,0.9681978821754456,0.9964664578437805
20,0.985061526298523,0.0005000000237487257,0.3876710534095764,1.0,1.0,0.869257926940918,0.8083726167678833,0.9646643400192261,0.9964664578437805
21,0.9938488602638245,0.0002500000118743628,0.3694252371788025,1.0,1.0,0.869257926940918,0.8009781837463379,0.9681978821754456,0.9964664578437805
22,0.9780316352844238,0.0002500000118743628,0.38887909054756165,0.9991212487220764,1.0,0.8657243847846985,0.8078277111053467,0.9646643400192261,0.9964664578437805
23,0.9929701089859009,0.0002500000118743628,0.35720202326774597,1.0,1.0,0.8657243847846985,0.8146319389343262,0.9681978821754456,0.9964664578437805
24,0.9859402179718018,0.0002500000118743628,0.3616217374801636,1.0,1.0,0.8763250708580017,0.8119345903396606,0.9611307382583618,0.9964664578437805
